id,startDate,startTime,finishDate,finishTime,venue,city,address,event,jobName,shiftName,roleName,hours,shiftStatus,hourlyRate,estimatedPay,paidStatus,paymentDate,notes,parking,uniform,supervisor,createdFromOpportunityId,linkedOpportunityId,googleCalendarEventId,googleCalendarEventLink,googleCalendarAddedAt
csc-email-sofi-stadium-and-hollywood-park-karol-g-day1-production-2026-08-14-15-00,2026-08-14,15:00,2026-08-14,23:45,SoFi Stadium,Inglewood,3883 W Century Blvd,Karol G Day1 - Production,Karol G Day1 - Production,Roam Team,Security Guard,8.75,Done,19.50,177.94,Paid,2026-08-21,".
Sign in location: Sign in will be located in the South West Corner of the Red Zone. Look for the white staff tent in the South West corner of the parking lot.",,All black uniform,Syd (Sydney) - AD,,,216cv50evf0apkng89nj6u6020,https://www.google.com/calendar/event?eid=MjE2Y3Y1MGV2ZjBhcGtuZzg5bmo2dTYwMjAgZGF2aWRoYWxsc3Ryb20yQG0,2026-07-18T17:28:26.804Z
csc-email-sofi-stadium-and-hollywood-park-karol-g-day3-production-floorxstage-2026-08-16-15-00-2026-08-17-00-00,2026-08-16,15:00,2026-08-16,23:45,SoFi Stadium,Inglewood,3883 W Century Blvd,Karol G Day3 - Production,Karol G Day3 - Production,FloorXStage,Security Guard,8.75,Done,19.50,177.94,Paid,2026-08-28,Sign in location: Sign in will be located in the South West Corner of the Red Zone. Look for the white staff tent in the South West corner of the parking lot.,,All black uniform,Miguel,,,b203ihfi556lnvm47qfoce995s,https://www.google.com/calendar/event?eid=YjIwM2loZmk1NTZsbnZtNDdxZm9jZTk5NXMgZGF2aWRoYWxsc3Ryb20yQG0,2026-07-18T17:28:29.824Z
csc-email-sofi-stadium-and-hollywood-park-chargersvs49ers-sec-main-2026-08-20-15-00-2026-08-21-01-00,2026-08-20,15:00,2026-08-20,23:15,SoFi Stadium,Inglewood,3883 W Century Blvd,Chargers vs 49ers,ChargersVs49ers - Sec Main,Security Guard,Security Guard,8.25,Done,19.50,163.31,Paid,2026-08-28,Lvl 6 309 Cameras with Jeff and Country,,All black uniform,Mayra,,,4344ddk8j5f3fo6j317gvj1o9o,https://www.google.com/calendar/event?eid=NDM0NGRkazhqNWYzZm82ajMxN2d2ajFvOW8gZGF2aWRoYWxsc3Ryb20yQG0,2026-08-18T16:17:24.471Z
csc-email-the-kia-forum-dns-omar-courtz-north-hospitality-yk-2-fill-c-t-event-st-2026-08-21-18-00-2026-08-21-23-30,2026-08-21,18:00,2026-08-22,00:30,Kia Forum,Inglewood,"3900 W Manchester Blvd, Inglewood, CA 90305",Omar Courtz,Omar Courtz,North Hospitality,C&T Event Staff,6.50,Cancelled,19.50,0.00,Cancelled,,I cancelled because they extended the shift to 12:20 am and I had a SoFi shift4 1/2 hours later.,,Coat & Tie,,,,bruso0ru3nus5tadvc8rl7trkc,https://www.google.com/calendar/event?eid=YnJ1c28wcnUzbnVzNXRhZHZjOHJsN3Rya2MgZGF2aWRoYWxsc3Ryb20yQG0,2026-07-18T17:28:32.613Z
csc-custom-1790260137694-532929a9154628,2026-09-19,17:00,2026-09-19,23:45,Hollywood Bowl,Los Angeles,"Hollywood Bowl, 2301 N. HIGHLAND AVENUE","Squeeze W / Adam Ant, English Beat",,Security Guard - Main Call,Security Guard,6.75,Done,19.50,131.63,Unpaid,,,"NOTE: Parking will be stacked parking. There will be no option for early exits. If you are dismissed due to disciplinary action, you will be still be in stacked parking.",All black / white shirt,Michael (Mike),,,,,
csc-email-the-kia-forum-dns-robyn-n2-aifi-store-security-guard-2026-09-24-16-00-2026-09-24-23-30,2026-09-24,16:00,2026-09-24,23:30,Kia Forum,Inglewood,"3900 W Manchester Blvd, Inglewood, CA 90305",Robyn,Robyn - N2,AiFi Store,Security Guard,7.50,Cancelled,19.50,0.00,Cancelled,,Had to cancel Mom fell. At ER. Head with 2 staples.,,All black uniform,,,,5hcjc38d2gaev8p2eve7v8uglq,https://www.google.com/calendar/event?eid=NWhjamMzOGQyZ2FldjhwMmV2ZTd2OHVnbHEgZGF2aWRoYWxsc3Ryb20yQG0,2026-07-18T17:28:42.209Z
csc-email-sofi-stadium-and-hollywood-park-r-and-b-tourn1-sec-main-perimeter-work-2026-09-25-15-00-2026-09-26-00-00,2026-09-25,15:00,2026-09-26,00:00,SoFi Stadium,Inglewood,3883 W Century Blvd,RandB Tour,R and B Tour N1 - Production,FloorXStage,Security Guard 1,9.00,Scheduled,19.50,185.25,Unpaid,,Sign in location: Sign in will be located in the SW Corner of the Red Lot. Look for the white staff tent in the SW corner of the parking lot. Imported from Wish ESS Upcoming Schedules.,,All black uniform,,,,pvfghbcsjiblsvl77qcoerebeo,https://www.google.com/calendar/event?eid=cHZmZ2hiY3NqaWJsc3ZsNzdxY29lcmViZW8gZGF2aWRoYWxsc3Ryb20yQG0,2026-08-05T07:14:50.768Z
csc-email-sofi-stadium-and-hollywood-park-r-and-b-tourn2-sec-main-team-member-en-2026-09-26-13-00-2026-09-27-01-00,2026-09-26,11:00,2026-09-27,01:00,SoFi Stadium,Inglewood,3883 W Century Blvd,RandB Tour,R and B TourN2 - Sec Main,Team Member Entrance,Security Guard,14.00,Scheduled,19.50,351.00,Unpaid,,Sign in location: Sign in will be located in the SW Corner of the Red Lot. Look for the white staff tent in the SW corner of the parking lot. Imported from Wish ESS Upcoming Schedules.,,All black uniform,,,,r3172chun1boj16os667l14fbo,https://www.google.com/calendar/event?eid=cjMxNzJjaHVuMWJvajE2b3M2NjdsMTRmYm8gZGF2aWRoYWxsc3Ryb20yQG0,2026-08-05T07:14:49.128Z
csc-email-kia-forum-sin-bandera-arena-seating-event-staff-2026-09-27-18-00-2026-09-27-23-30,2026-09-27,18:00,2026-09-27,23:30,Kia Forum,Inglewood,"3900 W Manchester Blvd, Inglewood, CA 90305",2026 Sin Bandera,Sin Bandera,Arena Seating,Event Staff,5.50,Scheduled,19.50,107.25,Unpaid,,CSC shift email imported.,,All black uniform,,,,qr05u8fns03alftk85066r6h6s,https://www.google.com/calendar/event?eid=cXIwNXU4Zm5zMDNhbGZ0azg1MDY2cjZoNnMgZGF2aWRoYWxsc3Ryb20yQG0,2026-09-24T14:52:42.964Z
csc-email-sofi-stadium-and-hollywood-park-bruno-mars-day1-production-floorxstage-2026-09-30-15-00-2026-10-01-00-00,2026-09-30,15:00,2026-10-01,00:00,SoFi Stadium,Inglewood,3883 W Century Blvd,Bruno Mars,Bruno Mars Day1 - Production,FloorXStage,Security Guard,9.00,Scheduled,19.50,185.25,Unpaid,,Sign in location: Sign in will be located in the South West Corner of the Red Zone. Look for the white staff tent in the South West corner of the parking lot. Imported from Wish ESS Upcoming Schedules.,,All black uniform,,,,56u13a1f4grq7gf0f4f00vrbk8,https://www.google.com/calendar/event?eid=NTZ1MTNhMWY0Z3JxN2dmMGY0ZjAwdnJiazggZGF2aWRoYWxsc3Ryb20yQG0,2026-08-05T07:14:45.269Z
